Dates,Blocked,
27-08-1979 to 31-08-1979,0,
01-06-1980 to 05-06-1980,1,
02-06-1980 to 06-06-1980,1,
03-06-1980 to 07-06-1980,1,
04-06-1980 to 08-06-1980,1,
05-06-1980 to 09-06-1980,0,
06-06-1980 to 10-06-1980,0,
07-06-1980 to 11-06-1980,0,
08-06-1980 to 12-06-1980,0,
09-06-1980 to 13-06-1980,0,
10-06-1980 to 14-06-1980,0,
11-06-1980 to 15-06-1980,0,
12-06-1980 to 16-06-1980,0,
13-06-1980 to 17-06-1980,1,
14-06-1980 to 18-06-1980,1,
15-06-1980 to 19-06-1980,1,
16-06-1980 to 20-06-1980,0,
17-06-1980 to 21-06-1980,0,
18-06-1980 to 22-06-1980,0,
19-06-1980 to 23-06-1980,0,
20-06-1980 to 24-06-1980,0,
21-06-1980 to 25-06-1980,0,
22-06-1980 to 26-06-1980,0,
23-06-1980 to 27-06-1980,0,
24-06-1980 to 28-06-1980,0,
25-06-1980 to 29-06-1980,0,
26-06-1980 to 30-06-1980,0,
27-06-1980 to 01-07-1980,0,
28-06-1980 to 02-07-1980,0,
29-06-1980 to 03-07-1980,0,
30-06-1980 to 04-07-1980,0,
01-07-1980 to 05-07-1980,0,
02-07-1980 to 06-07-1980,0,
03-07-1980 to 07-07-1980,0,
04-07-1980 to 08-07-1980,0,
05-07-1980 to 09-07-1980,0,
06-07-1980 to 10-07-1980,0,
07-07-1980 to 11-07-1980,0,
08-07-1980 to 12-07-1980,0,
09-07-1980 to 13-07-1980,0,
10-07-1980 to 14-07-1980,0,
11-07-1980 to 15-07-1980,0,
12-07-1980 to 16-07-1980,0,
13-07-1980 to 17-07-1980,0,
14-07-1980 to 18-07-1980,0,
15-07-1980 to 19-07-1980,0,
16-07-1980 to 20-07-1980,0,
17-07-1980 to 21-07-1980,0,
18-07-1980 to 22-07-1980,0,
19-07-1980 to 23-07-1980,0,
20-07-1980 to 24-07-1980,0,
21-07-1980 to 25-07-1980,0,
22-07-1980 to 26-07-1980,0,
23-07-1980 to 27-07-1980,0,?
24-07-1980 to 28-07-1980,1,
25-07-1980 to 29-07-1980,1,
26-07-1980 to 30-07-1980,1,
27-07-1980 to 31-07-1980,1,
28-07-1980 to 01-08-1980,1,
29-07-1980 to 02-08-1980,1,
30-07-1980 to 03-08-1980,1,
31-07-1980 to 04-08-1980,0,
01-08-1980 to 05-08-1980,0,
02-08-1980 to 06-08-1980,0,
03-08-1980 to 07-08-1980,0,
04-08-1980 to 08-08-1980,0,
05-08-1980 to 09-08-1980,0,
06-08-1980 to 10-08-1980,0,
07-08-1980 to 11-08-1980,0,
08-08-1980 to 12-08-1980,0,
09-08-1980 to 13-08-1980,0,
10-08-1980 to 14-08-1980,0,
11-08-1980 to 15-08-1980,0,
12-08-1980 to 16-08-1980,0,
13-08-1980 to 17-08-1980,0,
14-08-1980 to 18-08-1980,1,
15-08-1980 to 19-08-1980,0,
16-08-1980 to 20-08-1980,0,
17-08-1980 to 21-08-1980,0,
18-08-1980 to 22-08-1980,0,
19-08-1980 to 23-08-1980,0,
20-08-1980 to 24-08-1980,0,
21-08-1980 to 25-08-1980,0,
22-08-1980 to 26-08-1980,0,
23-08-1980 to 27-08-1980,0,
25-08-1980 to 29-08-1980,0,
01-06-1981 to 05-06-1981,0,
02-06-1981 to 06-06-1981,0,
03-06-1981 to 07-06-1981,0,
04-06-1981 to 08-06-1981,0,
05-06-1981 to 09-06-1981,0,
06-06-1981 to 10-06-1981,0,
07-06-1981 to 11-06-1981,0,
08-06-1981 to 12-06-1981,0,
09-06-1981 to 13-06-1981,0,
10-06-1981 to 14-06-1981,0,
11-06-1981 to 15-06-1981,1,?
12-06-1981 to 16-06-1981,0,
13-06-1981 to 17-06-1981,0,
14-06-1981 to 18-06-1981,0,
15-06-1981 to 19-06-1981,0,
16-06-1981 to 20-06-1981,0,
17-06-1981 to 21-06-1981,0,
18-06-1981 to 22-06-1981,0,
19-06-1981 to 23-06-1981,0,
20-06-1981 to 24-06-1981,0,
21-06-1981 to 25-06-1981,0,
22-06-1981 to 26-06-1981,0,
23-06-1981 to 27-06-1981,0,
24-06-1981 to 28-06-1981,0,Eastern Europe
25-06-1981 to 29-06-1981,0,
26-06-1981 to 30-06-1981,0,
27-06-1981 to 01-07-1981,0,
28-06-1981 to 02-07-1981,0,
29-06-1981 to 03-07-1981,0,
30-06-1981 to 04-07-1981,0,
01-07-1981 to 05-07-1981,0,
02-07-1981 to 06-07-1981,0,
03-07-1981 to 07-07-1981,0,
04-07-1981 to 08-07-1981,0,
05-07-1981 to 09-07-1981,0,
06-07-1981 to 10-07-1981,0,
07-07-1981 to 11-07-1981,0,
08-07-1981 to 12-07-1981,1,
09-07-1981 to 13-07-1981,0,
10-07-1981 to 14-07-1981,0,
11-07-1981 to 15-07-1981,0,
12-07-1981 to 16-07-1981,0,
13-07-1981 to 17-07-1981,0,
14-07-1981 to 18-07-1981,0,
15-07-1981 to 19-07-1981,0,
16-07-1981 to 20-07-1981,0,
17-07-1981 to 21-07-1981,0,
18-07-1981 to 22-07-1981,0,
19-07-1981 to 23-07-1981,0,
20-07-1981 to 24-07-1981,0,
21-07-1981 to 25-07-1981,0,
22-07-1981 to 26-07-1981,0,
23-07-1981 to 27-07-1981,0,
24-07-1981 to 28-07-1981,0,
25-07-1981 to 29-07-1981,0,
26-07-1981 to 30-07-1981,1,
27-07-1981 to 31-07-1981,0,
28-07-1981 to 01-08-1981,0,
29-07-1981 to 02-08-1981,0,
30-07-1981 to 03-08-1981,0,
31-07-1981 to 04-08-1981,0,
01-08-1981 to 05-08-1981,0,
02-08-1981 to 06-08-1981,0,
03-08-1981 to 07-08-1981,1,
04-08-1981 to 08-08-1981,1,
05-08-1981 to 09-08-1981,0,
06-08-1981 to 10-08-1981,0,
07-08-1981 to 11-08-1981,0,
08-08-1981 to 12-08-1981,0,
09-08-1981 to 13-08-1981,0,
10-08-1981 to 14-08-1981,1,
11-08-1981 to 15-08-1981,0,
12-08-1981 to 16-08-1981,0,
13-08-1981 to 17-08-1981,0,
14-08-1981 to 18-08-1981,0,
15-08-1981 to 19-08-1981,0,
16-08-1981 to 20-08-1981,0,
17-08-1981 to 21-08-1981,0,
18-08-1981 to 22-08-1981,0,
19-08-1981 to 23-08-1981,0,
21-08-1981 to 25-08-1981,0,
22-08-1981 to 26-08-1981,0,
24-08-1981 to 28-08-1981,1,
25-08-1981 to 29-08-1981,1,
27-08-1981 to 31-08-1981,1,
01-06-1982 to 05-06-1982,1,
02-06-1982 to 06-06-1982,1,
03-06-1982 to 07-06-1982,1,
04-06-1982 to 08-06-1982,1,
05-06-1982 to 09-06-1982,0,
06-06-1982 to 10-06-1982,0,
07-06-1982 to 11-06-1982,0,
08-06-1982 to 12-06-1982,0,
09-06-1982 to 13-06-1982,0,
10-06-1982 to 14-06-1982,0,
11-06-1982 to 15-06-1982,0,
12-06-1982 to 16-06-1982,0,
13-06-1982 to 17-06-1982,0,
14-06-1982 to 18-06-1982,0,
15-06-1982 to 19-06-1982,0,
16-06-1982 to 20-06-1982,0,
17-06-1982 to 21-06-1982,0,
18-06-1982 to 22-06-1982,0,
19-06-1982 to 23-06-1982,0,
20-06-1982 to 24-06-1982,0,
21-06-1982 to 25-06-1982,0,
22-06-1982 to 26-06-1982,0,
23-06-1982 to 27-06-1982,0,
24-06-1982 to 28-06-1982,0,
25-06-1982 to 29-06-1982,0,
26-06-1982 to 30-06-1982,0,
27-06-1982 to 01-07-1982,0,
28-06-1982 to 02-07-1982,0,
29-06-1982 to 03-07-1982,0,
30-06-1982 to 04-07-1982,0,
01-07-1982 to 05-07-1982,0,
02-07-1982 to 06-07-1982,0,
03-07-1982 to 07-07-1982,0,
04-07-1982 to 08-07-1982,0,
05-07-1982 to 09-07-1982,1,
06-07-1982 to 10-07-1982,1,
07-07-1982 to 11-07-1982,1,
08-07-1982 to 12-07-1982,1,
09-07-1982 to 13-07-1982,1,
10-07-1982 to 14-07-1982,1,
11-07-1982 to 15-07-1982,1,
12-07-1982 to 16-07-1982,1,
13-07-1982 to 17-07-1982,1,
14-07-1982 to 18-07-1982,1,
15-07-1982 to 19-07-1982,1,
16-07-1982 to 20-07-1982,1,
17-07-1982 to 21-07-1982,1,
18-07-1982 to 22-07-1982,1,
19-07-1982 to 23-07-1982,1,?
20-07-1982 to 24-07-1982,0,?
21-07-1982 to 25-07-1982,0,
22-07-1982 to 26-07-1982,0,
23-07-1982 to 27-07-1982,0,
24-07-1982 to 28-07-1982,0,
25-07-1982 to 29-07-1982,0,
26-07-1982 to 30-07-1982,0,
27-07-1982 to 31-07-1982,1,
28-07-1982 to 01-08-1982,1,
29-07-1982 to 02-08-1982,1,
30-07-1982 to 03-08-1982,1,
31-07-1982 to 04-08-1982,1,
01-08-1982 to 05-08-1982,1,
02-08-1982 to 06-08-1982,1,?
03-08-1982 to 07-08-1982,0,
04-08-1982 to 08-08-1982,0,
05-08-1982 to 09-08-1982,0,
06-08-1982 to 10-08-1982,0,
07-08-1982 to 11-08-1982,0,
08-08-1982 to 12-08-1982,0,
09-08-1982 to 13-08-1982,0,
10-08-1982 to 14-08-1982,0,
11-08-1982 to 15-08-1982,0,
12-08-1982 to 16-08-1982,0,
13-08-1982 to 17-08-1982,0,
14-08-1982 to 18-08-1982,0,
15-08-1982 to 19-08-1982,0,
17-08-1982 to 21-08-1982,0,
18-08-1982 to 22-08-1982,0,
19-08-1982 to 23-08-1982,0,
21-08-1982 to 25-08-1982,0,
22-08-1982 to 26-08-1982,0,
23-08-1982 to 27-08-1982,0,
25-08-1982 to 29-08-1982,0,
26-08-1982 to 30-08-1982,0,
27-08-1982 to 31-08-1982,0,
29-08-1982 to 02-06-1983,0,
30-08-1982 to 03-06-1983,0,
31-08-1982 to 04-06-1983,0,
01-06-1983 to 05-06-1983,0,
02-06-1983 to 06-06-1983,0,
03-06-1983 to 07-06-1983,0,
04-06-1983 to 08-06-1983,0,
05-06-1983 to 09-06-1983,0,?
06-06-1983 to 10-06-1983,0,
07-06-1983 to 11-06-1983,0,
08-06-1983 to 12-06-1983,0,
09-06-1983 to 13-06-1983,0,
10-06-1983 to 14-06-1983,0,
11-06-1983 to 15-06-1983,0,
12-06-1983 to 16-06-1983,0,
13-06-1983 to 17-06-1983,0,
14-06-1983 to 18-06-1983,0,
15-06-1983 to 19-06-1983,0,
16-06-1983 to 20-06-1983,0,
17-06-1983 to 21-06-1983,1,
18-06-1983 to 22-06-1983,1,
19-06-1983 to 23-06-1983,0,
20-06-1983 to 24-06-1983,0,
21-06-1983 to 25-06-1983,0,
22-06-1983 to 26-06-1983,0,
23-06-1983 to 27-06-1983,0,
24-06-1983 to 28-06-1983,0,
25-06-1983 to 29-06-1983,0,
26-06-1983 to 30-06-1983,0,
27-06-1983 to 01-07-1983,0,
28-06-1983 to 02-07-1983,0,
29-06-1983 to 03-07-1983,0,
30-06-1983 to 04-07-1983,0,
01-07-1983 to 05-07-1983,0,
02-07-1983 to 06-07-1983,0,
03-07-1983 to 07-07-1983,0,
04-07-1983 to 08-07-1983,0,
05-07-1983 to 09-07-1983,1,
06-07-1983 to 10-07-1983,1,
07-07-1983 to 11-07-1983,1,
08-07-1983 to 12-07-1983,1,
09-07-1983 to 13-07-1983,0,?
10-07-1983 to 14-07-1983,0,
11-07-1983 to 15-07-1983,0,
12-07-1983 to 16-07-1983,0,
13-07-1983 to 17-07-1983,0,
14-07-1983 to 18-07-1983,0,
15-07-1983 to 19-07-1983,0,
16-07-1983 to 20-07-1983,0,
17-07-1983 to 21-07-1983,0,
18-07-1983 to 22-07-1983,0,
19-07-1983 to 23-07-1983,0,
20-07-1983 to 24-07-1983,0,
21-07-1983 to 25-07-1983,0,
22-07-1983 to 26-07-1983,0,?
23-07-1983 to 27-07-1983,1,
24-07-1983 to 28-07-1983,1,
25-07-1983 to 29-07-1983,0,
26-07-1983 to 30-07-1983,0,
27-07-1983 to 31-07-1983,0,
28-07-1983 to 01-08-1983,0,
29-07-1983 to 02-08-1983,0,
30-07-1983 to 03-08-1983,0,
31-07-1983 to 04-08-1983,0,
01-08-1983 to 05-08-1983,0,
02-08-1983 to 06-08-1983,0,
03-08-1983 to 07-08-1983,0,
04-08-1983 to 08-08-1983,0,
05-08-1983 to 09-08-1983,1,
06-08-1983 to 10-08-1983,1,
07-08-1983 to 11-08-1983,0,
08-08-1983 to 12-08-1983,0,
09-08-1983 to 13-08-1983,0,
10-08-1983 to 14-08-1983,0,
11-08-1983 to 15-08-1983,0,
13-08-1983 to 17-08-1983,0,
14-08-1983 to 18-08-1983,0,
15-08-1983 to 19-08-1983,0,
16-08-1983 to 20-08-1983,0,
18-08-1983 to 22-08-1983,0,
19-08-1983 to 23-08-1983,1,
20-08-1983 to 24-08-1983,1,
21-08-1983 to 25-08-1983,1,
22-08-1983 to 26-08-1984,1,
23-08-1983 to 27-08-1983,1,
24-08-1983 to 28-08-1983,1,
25-08-1983 to 29-08-1983,0,
26-08-1983 to 30-08-1983,0,
01-06-1984 to 05-06-1984,1,
02-06-1984 to 06-06-1984,1,
03-06-1984 to 07-06-1984,0,
04-06-1984 to 08-06-1984,0,
05-06-1984 to 09-06-1984,0,
06-06-1984 to 10-06-1984,0,
07-06-1984 to 11-06-1984,0,
08-06-1984 to 12-06-1984,0,
09-06-1984 to 13-06-1984,0,
10-06-1984 to 14-06-1984,0,
11-06-1984 to 15-06-1984,0,
12-06-1984 to 16-06-1984,0,
13-06-1984 to 17-06-1984,0,
14-06-1984 to 18-06-1984,0,
15-06-1984 to 19-06-1984,0,
16-06-1984 to 20-06-1984,0,
17-06-1984 to 21-06-1984,0,
18-06-1984 to 22-06-1984,0,
19-06-1984 to 23-06-1984,0,
20-06-1984 to 24-06-1984,0,
21-06-1984 to 25-06-1984,0,
22-06-1984 to 26-06-1984,0,
23-06-1984 to 27-06-1984,0,
24-06-1984 to 28-06-1984,0,
25-06-1984 to 29-06-1984,0,
26-06-1984 to 30-06-1984,0,
27-06-1984 to 01-07-1984,0,
28-06-1984 to 02-07-1984,0,
29-06-1984 to 03-07-1984,0,
30-06-1984 to 04-07-1984,0,
01-07-1984 to 05-07-1984,0,
02-07-1984 to 06-07-1984,0,
03-07-1984 to 07-07-1984,0,
04-07-1984 to 08-07-1984,0,
05-07-1984 to 09-07-1984,0,
06-07-1984 to 10-07-1984,0,
07-07-1984 to 11-07-1984,0,
08-07-1984 to 12-07-1984,0,
09-07-1984 to 13-07-1984,0,?
10-07-1984 to 14-07-1984,0,
11-07-1984 to 15-07-1984,0,
12-07-1984 to 16-07-1984,0,
13-07-1984 to 17-07-1984,0,
14-07-1984 to 18-07-1984,0,
15-07-1984 to 19-07-1984,0,
16-07-1984 to 20-07-1984,0,
17-07-1984 to 21-07-1984,0,
18-07-1984 to 22-07-1984,0,
19-07-1984 to 23-07-1984,0,
20-07-1984 to 24-07-1984,0,
21-07-1984 to 25-07-1984,0,
22-07-1984 to 26-07-1984,0,
23-07-1984 to 27-07-1984,0,
24-07-1984 to 28-07-1984,0,
25-07-1984 to 29-07-1984,0,
26-07-1984 to 30-07-1984,0,
27-07-1984 to 31-07-1984,0,
28-07-1984 to 01-08-1984,0,
29-07-1984 to 02-08-1984,0,
30-07-1984 to 03-08-1984,0,
31-07-1984 to 04-08-1984,1,
01-08-1984 to 05-08-1984,1,
02-08-1984 to 06-08-1984,1,
03-08-1984 to 07-08-1984,1,
04-08-1984 to 08-08-1984,1,
05-08-1984 to 09-08-1984,1,
06-08-1984 to 10-08-1984,1,
07-08-1984 to 11-08-1984,1,
08-08-1984 to 12-08-1984,1,
09-08-1984 to 13-08-1984,0,
10-08-1984 to 14-08-1984,0,
11-08-1984 to 15-08-1984,0,
12-08-1984 to 16-08-1984,0,
13-08-1984 to 17-08-1984,0,
15-08-1984 to 19-08-1984,0,
16-08-1984 to 20-08-1984,0,
17-08-1984 to 21-08-1984,0,
18-08-1984 to 22-08-1984,0,
19-08-1984 to 23-08-1984,1,
20-08-1984 to 24-08-1984,1,
21-08-1984 to 25-08-1984,1,
22-08-1984 to 26-08-1984,1,
23-08-1984 to 27-08-1984,0,
24-08-1984 to 28-08-1984,0,
25-08-1984 to 29-08-1984,0,
26-08-1984 to 30-08-1984,0,
27-08-1984 to 31-08-1984,0,
01-06-1985 to 05-06-1985,0,
02-06-1985 to 06-06-1985,0,
03-06-1985 to 07-06-1985,0,
04-06-1985 to 08-06-1985,0,
05-06-1985 to 09-06-1985,0,
06-06-1985 to 10-06-1985,0,
07-06-1985 to 11-06-1985,0,
08-06-1985 to 12-06-1985,0,
09-06-1985 to 13-06-1985,0,
10-06-1985 to 14-06-1985,0,
11-06-1985 to 15-06-1985,0,
12-06-1985 to 16-06-1985,0,
13-06-1985 to 17-06-1985,0,
14-06-1985 to 18-06-1985,0,
15-06-1985 to 19-06-1985,0,
16-06-1985 to 20-06-1985,0,
17-06-1985 to 21-06-1985,0,
18-06-1985 to 22-06-1985,0,
19-06-1985 to 23-06-1985,0,
20-06-1985 to 24-06-1985,0,
21-06-1985 to 25-06-1985,0,
22-06-1985 to 26-06-1985,0,
23-06-1985 to 27-06-1985,0,
24-06-1985 to 28-06-1985,0,
25-06-1985 to 29-06-1985,0,
26-06-1985 to 30-06-1985,0,
27-06-1985 to 01-07-1985,0,
28-06-1985 to 02-07-1985,0,
29-06-1985 to 03-07-1985,0,
30-06-1985 to 04-07-1985,0,
01-07-1985 to 05-07-1985,0,
02-07-1985 to 06-07-1985,0,
03-07-1985 to 07-07-1985,1,
04-07-1985 to 08-07-1985,0,
05-07-1985 to 09-07-1985,0,
06-07-1985 to 10-07-1985,0,
07-07-1985 to 11-07-1985,0,
08-07-1985 to 12-07-1985,0,
09-07-1985 to 13-07-1985,0,
10-07-1985 to 14-07-1985,0,
11-07-1985 to 15-07-1985,0,
12-07-1985 to 16-07-1985,0,
13-07-1985 to 17-07-1985,1,
14-07-1985 to 18-07-1985,1,
15-07-1985 to 19-07-1985,0,
16-07-1985 to 20-07-1985,0,
17-07-1985 to 21-07-1985,0,
18-07-1985 to 22-07-1985,0,
19-07-1985 to 23-07-1985,0,
20-07-1985 to 24-07-1985,0,
21-07-1985 to 25-07-1985,0,
22-07-1985 to 26-07-1985,0,
23-07-1985 to 27-07-1985,0,
24-07-1985 to 28-07-1985,0,
25-07-1985 to 29-07-1985,0,
26-07-1985 to 30-07-1985,0,
27-07-1985 to 31-07-1985,0,
28-07-1985 to 01-08-1985,0,
29-07-1985 to 02-08-1985,0,
30-07-1985 to 03-08-1985,0,
31-07-1985 to 04-08-1985,0,
01-08-1985 to 05-08-1985,0,
02-08-1985 to 06-08-1985,0,
03-08-1985 to 07-08-1985,0,
05-08-1985 to 09-08-1985,0,
06-08-1985 to 10-08-1985,0,
07-08-1985 to 11-08-1985,0,
08-08-1985 to 12-08-1985,0,
09-08-1985 to 13-08-1985,0,
10-08-1985 to 14-08-1985,0,
12-08-1985 to 16-08-1985,0,
13-08-1985 to 17-08-1985,0,
14-08-1985 to 18-08-1985,0,
15-08-1985 to 19-08-1985,0,
16-08-1985 to 20-08-1985,0,
17-08-1985 to 21-08-1985,0,
19-08-1985 to 23-08-1985,0,
20-08-1985 to 24-08-1985,0,
21-08-1985 to 25-08-1985,0,
22-08-1985 to 26-08-1985,0,
23-08-1985 to 27-08-1985,0,
24-08-1985 to 28-08-1985,0,
26-08-1985 to 30-08-1985,0,
27-08-1985 to 31-08-1985,0,
28-08-1985 to 01-06-1986,0,
29-08-1985 to 02-06-1986,0,
30-08-1985 to 03-06-1986,0,
31-08-1985 to 04-06-1986,0,
01-06-1986 to 05-06-1986,0,
02-06-1986 to 06-06-1986,0,
03-06-1986 to 07-06-1986,0,Ural
04-06-1986 to 08-06-1986,0,
05-06-1986 to 09-06-1986,0,
06-06-1986 to 10-06-1986,0,
07-06-1986 to 11-06-1986,0,
08-06-1986 to 12-06-1986,0,
09-06-1986 to 13-06-1986,0,
10-06-1986 to 14-06-1986,1,
11-06-1986 to 15-06-1986,1,
12-06-1986 to 16-06-1986,1,
13-06-1986 to 17-06-1986,1,
14-06-1986 to 18-06-1986,1,
15-06-1986 to 19-06-1986,1,
16-06-1986 to 20-06-1986,1,
17-06-1986 to 21-06-1986,1,
18-06-1986 to 22-06-1986,1,
19-06-1986 to 23-06-1986,1,
20-06-1986 to 24-06-1986,1,
21-06-1986 to 25-06-1986,1,
22-06-1986 to 26-06-1986,1,
23-06-1986 to 27-06-1986,1,
24-06-1986 to 28-06-1986,1,
25-06-1986 to 29-06-1986,1,
26-06-1986 to 30-06-1986,1,
27-06-1986 to 01-07-1986,1,
28-06-1986 to 02-07-1986,1,
29-06-1986 to 03-07-1986,1,
30-06-1986 to 04-07-1986,1,
01-07-1986 to 05-07-1986,0,
02-07-1986 to 06-07-1986,0,
03-07-1986 to 07-07-1986,0,
04-07-1986 to 08-07-1986,0,
05-07-1986 to 09-07-1986,0,
06-07-1986 to 10-07-1986,0,
07-07-1986 to 11-07-1986,0,
08-07-1986 to 12-07-1986,0,
09-07-1986 to 13-07-1986,0,
10-07-1986 to 14-07-1986,0,
11-07-1986 to 15-07-1986,0,
12-07-1986 to 16-07-1986,0,
13-07-1986 to 17-07-1986,1,
14-07-1986 to 18-07-1986,0,
15-07-1986 to 19-07-1986,0,
16-07-1986 to 20-07-1986,0,
17-07-1986 to 21-07-1986,0,
18-07-1986 to 22-07-1986,0,
19-07-1986 to 23-07-1986,0,
20-07-1986 to 24-07-1986,0,
21-07-1986 to 25-07-1986,0,
22-07-1986 to 26-07-1986,0,
23-07-1986 to 27-07-1986,0,
24-07-1986 to 28-07-1986,0,
25-07-1986 to 29-07-1986,0,
26-07-1986 to 30-07-1986,0,
27-07-1986 to 31-07-1986,0,
28-07-1986 to 01-08-1986,0,
29-07-1986 to 02-08-1986,0,
30-07-1986 to 03-08-1986,0,
01-08-1986 to 05-08-1986,1,
02-08-1986 to 06-08-1986,0,
03-08-1986 to 07-08-1986,0,
04-08-1986 to 08-08-1986,0,
05-08-1986 to 09-08-1986,0,
06-08-1986 to 10-08-1986,0,
07-08-1986 to 11-08-1986,0,
09-08-1986 to 13-08-1986,0,
10-08-1986 to 14-08-1986,0,
11-08-1986 to 15-08-1986,0,
12-08-1986 to 16-08-1986,0,
13-08-1986 to 17-08-1986,0,
14-08-1986 to 18-08-1986,0,
15-08-1986 to 19-08-1986,0,
17-08-1986 to 21-08-1986,0,
18-08-1986 to 22-08-1986,0,
19-08-1986 to 23-08-1986,0,
20-08-1986 to 24-08-1986,0,
21-08-1986 to 25-08-1986,0,
22-08-1986 to 26-08-1986,0,
23-08-1986 to 27-08-1986,0,
25-08-1986 to 29-08-1986,0,
26-08-1986 to 30-08-1986,0,
27-08-1986 to 31-08-1986,0,
28-08-1986 to 01-06-1987,0,
29-08-1986 to 02-06-1987,0,
30-08-1986 to 03-06-1987,0,
31-08-1986 to 04-06-1987,0,
01-06-1987 to 05-06-1987,0,
02-06-1987 to 06-06-1987,0,
03-06-1987 to 07-06-1987,0,
04-06-1987 to 08-06-1987,0,
05-06-1987 to 09-06-1987,0,
06-06-1987 to 10-06-1987,0,
07-06-1987 to 11-06-1987,0,
08-06-1987 to 12-06-1987,0,
09-06-1987 to 13-06-1987,0,
10-06-1987 to 14-06-1987,0,
11-06-1987 to 15-06-1987,0,
12-06-1987 to 16-06-1987,0,
13-06-1987 to 17-06-1987,0,
14-06-1987 to 18-06-1987,0,
15-06-1987 to 19-06-1987,0,
16-06-1987 to 20-06-1987,0,
17-06-1987 to 21-06-1987,0,
18-06-1987 to 22-06-1987,0,
19-06-1987 to 23-06-1987,0,
20-06-1987 to 24-06-1987,0,
21-06-1987 to 25-06-1987,0,
22-06-1987 to 26-06-1987,0,
23-06-1987 to 27-06-1987,0,
24-06-1987 to 28-06-1987,0,
25-06-1987 to 29-06-1987,0,
26-06-1987 to 30-06-1987,0,
27-06-1987 to 01-07-1987,0,
28-06-1987 to 02-07-1987,1,
29-06-1987 to 03-07-1987,1,
30-06-1987 to 04-07-1987,1,
01-07-1987 to 05-07-1987,1,
02-07-1987 to 06-07-1987,1,
03-07-1987 to 07-07-1987,0,
04-07-1987 to 08-07-1987,0,
05-07-1987 to 09-07-1987,0,
06-07-1987 to 10-07-1987,0,
07-07-1987 to 11-07-1987,0,
08-07-1987 to 12-07-1987,0,
09-07-1987 to 13-07-1987,0,
10-07-1987 to 14-07-1987,0,
